Id,category,text
24,condiment,"""RecipeName"": ""Apple-Pepper Jelly"",
""Ingredients"": [
""cups water"",
""can (6 ounces) frozen apple juice concentrate, thawed"",
""package (1 3/4 ounces) powdered fruit pectin"",
""cups sugar"",
""Few drops of red food color, if desired"",
""to 2 tablespoons crushed red pepper""
],
""PrepMethods"": [
""Mix water, apple juice concentrate and pectin in 3-quart saucepan until pectin is dissolved. Heat to boiling, stirring constantly. Stir in sugar. Heat to rolling boil, stirring constantly; remove from heat. Stir in food color. Quickly skim off foam. Stir in pepper."",
""Immediately pour into hot, sterilized jars or freezer containers, leaving 1/2-inch headspace. Wipe rims of jars. Seal immediately; cool. Store in refrigerator up to 1 month or in freezer up to 2 months. Thaw before serving.""
]
"
25,dessert,"""RecipeName"": ""Applesauce Doughnuts"",
""Ingredients"": [
""cups Gold Medal™ all-purpose flour"",
""cup applesauce"",
""cup sugar"",
""tablespoons shortening"",
""teaspoons baking powder"",
""teaspoon ground cinnamon"",
""teaspoon salt"",
""eggs"",
""Vegetable oil"",
""Cinnamon-sugar mixture, if desired""
],
""PrepMethods"": [
""Beat 1 1/3 cups of the flour and the remaining ingredients except oil and cinnamon-sugar in large bowl with electric mixer on low speed, scraping bowl constantly, until blended. Beat on medium speed 2 minutes, scraping bowl occasionally. Stir in remaining 2 cups flour. Cover and refrigerate about 1 hour or until dough stiffens."",
""Heat oil (2 to 3 inches) in deep fryer or 3-quart saucepan to 375°F. Divide dough in half. Place half of the dough on well-floured cloth-covered surface; gently roll in flour to coat. Gently roll dough 3/8 inch thick. Cut with floured doughnut cutter. Repeat with remaining dough."",
""Slide doughnuts into hot oil, using wide spatula. Turn doughnuts as they rise to surface. Fry 1 to 1 1/2 minutes on each side or until golden brown. Carefully remove from oil (do not prick surfaces); drain on paper towels. Sprinkle hot doughnuts with cinnamon-sugar.""
]
"
26,condiment,"""RecipeName"": ""Applesauce"",
""Ingredients"": [
""medium cooking apples (1 1/3 lb), peeled, cut into fourths and cored"",
""cup water"",
""cup packed brown sugar or 3 to 4 tablespoons granulated sugar"",
""teaspoon ground cinnamon"",
""teaspoon ground nutmeg""
],
""PrepMethods"": [
""In 2-quart saucepan, heat apples and water to boiling over medium heat, stirring occasionally; reduce heat. Simmer uncovered 5 to 10 minutes, stirring occasionally to break up apples, until tender."",
""Stir in remaining ingredients. Heat to boiling. Boil and stir 1 minute. Cover and refrigerate until serving. Store covered in refrigerator.""
]
"
27,appetizer,"""RecipeName"": ""Apricot Baked Brie"",
""Ingredients"": [
""cup apricot preserves"",
""cup chopped pecans"",
""tablespoons finely chopped red onion"",
""sheet puff pastry (from 17.3-oz package), thawed"",
""round (8 oz) Brie cheese, cut horizontally in half"",
""tablespoon whipping (heavy) cream or half-and-half""
],
""PrepMethods"": [
""Heat oven to 400°F. Line cookie sheet with foil or cooking parchment paper; lightly spray foil or paper with cooking spray. In small bowl, mix preserves, pecans and onion; set aside."",
""On lightly floured surface, roll pastry into 10x14-inch rectangle. Using the round of cheese as a pattern, cut a pastry circle 3 to 4 inches larger than the cheese. Set aside excess pastry."",
""Spread half of the preserves mixture in center of pastry circle, leaving 3-inch edge. Place 1 cheese round (in rind) on preserves. Spoon remaining preserves over cheese. Top with remaining cheese round."",
""Gently fold edges of pastry up and over cheese to cover, folding and pinching edges to seal. Place seam side down on cookie sheet. Cut out decorative pieces from excess pastry. Brush pastry with whipping cream; place pastry cutouts on top."",
""Bake 20 to 25 minutes or until golden brown. Serve warm.""
]
"
28,beverage,"""RecipeName"": ""Apricot Cooler"",
""Ingredients"": [
""can (46 oz) apricot nectar, chilled"",
""cup frozen (thawed) lemonade concentrate (half 12-oz can)"",
""cups lemon-lime carbonated beverage, chilled""
],
""PrepMethods"": [
""In 2 1/2- to 3-quart nonmetal pitcher or punch bowl, mix apricot nectar and lemonade concentrate. If desired, refrigerate until serving time."",
""Just before serving, gently stir in carbonated beverage. Serve over ice.""
]
"
29,condiment,"""RecipeName"": ""Apricot-Rosemary Salsa"",
""Ingredients"": [
""can (5 1/2 ounces) apricot nectar"",
""cup chopped dried apricots"",
""tablespoon chopped shallot"",
""medium roma (plum) tomatoes, chopped (3/4 cup)"",
""teaspoons chopped fresh rosemary leaves or 1/2 teaspoon dried rosemary leaves, crumbled"",
""teaspoon lemon juice"",
""teaspoon ground cinnamon"",
""teaspoon ground ginger"",
""tablespoons chopped fresh parsley""
],
""PrepMethods"": [
""Mix apricot nectar, apricots and shallots in 2-quart saucepan. Heat to boiling over medium heat; reduce heat. Simmer uncovered 3 to 5 minutes or until most of nectar is absorbed. Stir in remaining ingredients except parsley; heat through. Stir in parsley. Serve warm or cold. ""
]
"
30,appetizer,"""RecipeName"": ""Artichoke-Rosemary Bruschetta"",
""Ingredients"": [
""loaf (1 pound) French bread, cut horizontally in half"",
""cup shredded mozzarella cheese (4 ounces)"",
""cup grated Parmesan cheese"",
""tablespoon chopped fresh or 1 teaspoon dried rosemary leaves, crumbled"",
""cup mayonnaise or salad dressing"",
""jar (6 ounces) marinated artichoke hearts, drained and chopped""
],
""PrepMethods"": [
""Heat oven to 375°. Place bread, cut sides up, on ungreased cookie sheet. Bake 10 minutes."",
""Mix 1/2 cup of the mozzarella cheese, the Parmesan cheese, rosemary, mayonnaise and artichokes; spread on bread. Sprinkle with remaining 1/2 cup mozzarella cheese. Bake 15 to 20 minutes or until cheese is melted.""
]
"
31,condiment,"""RecipeName"": ""Asian Dressing"",
""Ingredients"": [
""cup rice, white or cider vinegar"",
""cup vegetable oil"",
""tablespoons soy sauce"",
""tablespoon sesame seed, toasted if desired"",
""tablespoons dry sherry or apple juice"",
""teaspoon grated gingerroot or 1/4 teaspoon ground ginger"",
""drops dark sesame oil, if desired""
],
""PrepMethods"": [
""In tightly covered container, shake all ingredients. Shake before serving. Store tightly covered in refrigerator.""
]
"
32,snack,"""RecipeName"": ""Asian Snack Mix"",
""Ingredients"": [
""cups Corn Chex™ cereal"",
""cups Bugles® original corn snacks"",
""cups chow mein noodles"",
""cup pretzel sticks"",
""cup salted peanuts"",
""tablespoons butter or margarine"",
""teaspoon garlic powder"",
""tablespoons soy sauce"",
""package (1 oz) chow mein oriental seasoning mix"",
""cup wasabi-coated peas""
],
""PrepMethods"": [
""In large microwavable bowl, mix cereal, corn snacks, chow mein noodles, pretzels and peanuts."",
""In microwavable measuring cup, microwave butter uncovered on High about 40 seconds or until melted. Stir in garlic powder, soy sauce and chow mein seasoning mix with wire whisk until well mixed. Pour over cereal mixture, stirring until evenly coated."",
""Microwave uncovered on High about 5 minutes, stirring every 2 minutes, until mixture looks dry and crisp. Spread on paper towels; cool 15 minutes. Place in serving bowl; stir in wasabi-coated peas. Store in airtight container.""
]
"
33,appetizer,"""RecipeName"": ""Asparagus & Prosciutto Vase"",
""Ingredients"": [
""Supplies:"",
""cups fresh cranberries"",
""to 12 fresh small bay leaves"",
""yards (1/8-inch-wide) gold ribbon or gold wire"",
""Large yarn needle"",
""bunches asparagus (about 2 1/2 pounds)"",
""pound thinly sliced prosciutto, cut into 6x1-inch strips"",
""cup spreadable cheese"",
""Food-safe flowerpot (4 to 5 inches in diameter)"",
""Caesar dressing""
],
""PrepMethods"": [
""Thread cranberries and bay leaves onto ribbon or wire, using needle, to make a garland."",
""Blanch asparagus and pat dry; chill about 1 hour. Brush prosciutto strips with thin layer of cheese. Tightly wrap prosciutto strip, cheese side in, around each asparagus stalk. Arrange in flowerpot."",
""Wrap garland around asparagus and pot. Serve with dressing.""
]
"
34,appetizer,"""RecipeName"": ""Athenian-Style Bruschetta"",
""Ingredients"": [
""loaf (18 inch) baguette French bread (8 oz), cut into 1/2-inch-thick slices (about 30)"",
""tablespoons olive oil "",
""cup finely chopped red bell pepper"",
""cup finely chopped yellow bell pepper"",
""tablespoons finely chopped red onion"",
""cloves garlic, finely chopped"",
""teaspoon salt"",
""teaspoon chopped fresh oregano leaves"",
""teaspoon chopped fresh thyme leaves"",
""cup reduced-fat balsamic vinaigrette"",
""pitted kalamata olives, finely chopped (1/3 cup)"",
""cup crumbled feta cheese (1 oz)"",
""tablespoons finely chopped fresh parsley, if desired""
],
""PrepMethods"": [
""Heat oven to 375°F. In 15x10-inch pan with sides, place bread slices in single layer. Using pastry brush, lightly brush tops of slices with about 2 tablespoons of the oil. Bake 8 to 10 minutes or until lightly browned and crisp."",
""Meanwhile, in 10-inch nonstick skillet, heat remaining 1 tablespoon oil over medium-high heat 1 to 2 minutes or until hot. Add bell peppers, onion, garlic, salt, oregano and thyme. Cook 3 to 5 minutes, stirring occasionally, until vegetables are crisp-tender."",
""Transfer vegetables to medium bowl. Add vinaigrette and olives; stir until vegetables are coated."",
""Top each bread slice with 1 teaspoon vegetable mixture. Sprinkle with cheese and parsley. ""
]
"
35,dessert,"""RecipeName"": ""Baby Shower Cake"",
""Ingredients"": [
""box Betty Crocker™ Super Moist™ white cake mix"",
""Water, vegetable oil and egg whites called for on cake mix box"",
""Red and blue food colors"",
""containers Betty Crocker™ Rich & Creamy vanilla frosting""
],
""PrepMethods"": [
""Heat oven to 350°F (325°F for dark or nonstick pans). Grease bottoms only of three 8-inch or 9-inch round pans."",
""Make cake batter as directed on box. Pour 1 1/2 cups of the batter into small bowl. Pour another 1 1/2 cups of the batter into one of the pans."",
""Stir 6 to 10 drops red food color into batter in small bowl. Stir 6 to 10 drops blue food color into batter in large bowl. Pour pink batter into another pan; pour blue batter into remaining pan. (If necessary, refrigerate 1 pan of batter until ready to bake.)"",
""Bake 8-inch pans 19 to 24 minutes, 9-inch pans 17 to 22 minutes, or until toothpick inserted in center comes out clean. Cool 10 minutes; remove from pans to cooling rack. Cool completely, about 1 hour."",
""Place blue layer, top side down, on plate. Spread 1/3 cup frosting on blue layer almost to edge. Place white layer, top side down, on frosted layer. Spread 1/3 cup frosting on white layer almost to edge. Place pink layer, top side up, on frosted layer. Frost side and top of cake with remaining frosting. Store loosely covered.""
]
"
